time_s,temp_C,pressure_hPa,humidity_percent,bme_alt_m,gps_valid,gps_age_ms,lat,lon,gps_alt_m,speed_kmh,sats
0,22.40,1001.20,41.50,110.20,Y,120,38.873100,-98.342200,108.50,0.00,8
2,22.38,1001.18,41.45,110.35,Y,118,38.873120,-98.342180,108.70,0.20,8
4,22.35,1001.15,41.40,110.60,Y,115,38.873150,-98.342150,109.00,0.35,9
6,22.31,1001.10,41.32,111.05,Y,122,38.873190,-98.342120,109.50,0.50,9
8,22.25,1001.00,41.20,111.90,Y,117,38.873250,-98.342060,110.30,0.80,9
10,22.18,1000.85,41.05,113.15,Y,119,38.873330,-98.341980,111.60,1.10,10
12,22.10,1000.62,40.90,115.10,Y,121,38.873420,-98.341890,113.40,1.45,10
14,21.98,1000.30,40.72,117.90,Y,116,38.873540,-98.341780,116.20,1.80,10
16,21.85,999.95,40.50,120.95,Y,125,38.873680,-98.341640,119.40,2.20,10
18,21.70,999.52,40.25,124.70,Y,110,38.873850,-98.341470,123.10,2.70,11
20,21.55,999.05,39.98,128.85,Y,113,38.874030,-98.341290,127.20,3.10,11
22,21.37,998.45,39.70,134.20,Y,124,38.874250,-98.341070,132.50,3.60,11
24,21.20,997.80,39.45,139.95,Y,130,38.874500,-98.340830,138.10,4.05,11
26,21.02,997.05,39.15,146.55,Y,128,38.874780,-98.340560,144.80,4.60,12
28,20.85,996.20,38.90,154.15,Y,115,38.875100,-98.340250,152.30,5.00,12
30,20.65,995.30,38.60,162.20,Y,118,38.875450,-98.339910,160.40,5.30,12
32,20.42,994.35,38.35,171.10,Y,125,38.875820,-98.339550,169.20,5.60,12
34,20.20,993.25,38.10,181.35,Y,121,38.876220,-98.339160,179.60,5.90,12
36,19.98,992.10,37.85,192.10,Y,119,38.876650,-98.338740,190.20,6.10,12
38,19.75,990.85,37.55,204.10,Y,122,38.877100,-98.338300,202.40,6.35,12
40,19.50,989.50,37.25,217.25,Y,117,38.877580,-98.337830,215.70,6.60,12
42,19.22,988.05,36.98,231.80,Y,120,38.878090,-98.337330,230.00,6.80,11
44,18.95,986.45,36.70,247.90,Y,116,38.878630,-98.336800,246.10,7.00,11
46,18.70,984.70,36.35,265.50,Y,118,38.879200,-98.336250,263.80,7.15,11
48,18.42,982.90,36.05,283.80,Y,119,38.879790,-98.335670,282.30,7.30,11
50,18.10,981.00,35.70,303.10,Y,121,38.880410,-98.335060,301.80,7.45,10
52,17.85,979.00,35.42,323.35,Y,115,38.881050,-98.334430,322.00,7.60,10
54,17.55,976.95,35.10,344.10,Y,118,38.881720,-98.333770,343.20,7.70,10
56,17.22,974.80,34.82,366.25,Y,124,38.882410,-98.333090,365.10,7.85,10
58,16.95,972.55,34.55,389.40,Y,120,38.883120,-98.332390,388.50,8.00,10
60,16.70,970.25,34.20,413.15,Y,117,38.883850,-98.331670,412.20,8.10,10
